Identifier,Fish ID,Feed,Position,Replicates,Fish_Type,Lipid_%,C4:0,C6:0,C8:0,C10:0,C11:0,C12:0,C14:0,C14:1,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1n9c,C18:1n9t,C18:2n6t,C18:2n6c,C18:3n6c,C18:3n3c,C20:0,C20:1n9,C20:2,C20:3n6,C20:4n6,C21:0,C20:3n3,C20:5n3,C22:0,C22:1n9,C22:2,C23:0,DPA,C22:6n3,C24:0,C24:1n9
S15_F2_R3,S15,C,F2,R3,Small,18.51,0,0,0,0,0,0,2.519806294,0.062589276,0.079302206,0.209250702,11.79439928,2.860913698,0.236089893,0.317968653,2.546964474,25.25734751,1.408489177,0.151471402,19.16443277,0.166372952,7.920702983,0.372922604,4.954479629,1.825934979,0.378023809,0.292168367,0.856197894,1.042607275,3.397847909,0.161629564,2.042266473,0.364971177,0.09977923,1.68316093,4.426795204,0.06260652,0.404468052
S15_H_R1,S15,C,H,R1,Small,5.39,0,0,0,0,0,0,1.761500461,0.052545651,0.061885087,0.159203355,8.984321049,2.030741078,0.160787571,0.185641155,2.717601306,40.7494526,2.010441144,0.085905638,14.16606815,0.201490094,5.750590538,0.286280719,3.708117265,1.350823435,0.29965694,0.273583401,0.629340258,0.798490551,2.80698324,0.122907993,1.554501152,0.335789511,0.109169169,1.443491557,4.637289439,0,0.28271161
S15_H_R2,S15,C,H,R2,Small,8.12,0,0.056711607,0,0,0,0,1.713292604,0.045632249,0.056542024,0.16735881,9.581157716,1.927225868,0.145966656,0.246722639,2.868618007,39.39113556,1.898699391,0.065178489,13.44226985,0.105642883,5.507136957,0.295919619,3.482553565,1.334760405,0.315496908,0.334188144,0.602435424,0.78121844,3.201848902,0.170036275,1.578906241,0.282766486,0.098443623,1.543129886,5.888485635,0.053329324,0.366437786
S15_H_R3,S15,C,H,R3,Small,7.26,0,0,0,0,0,0,1.718304955,0,0.058369367,0.166948353,9.544253167,1.950243686,0.143119104,0.248936492,2.798739806,40.26002013,2.262231323,0.066583562,13.48020889,0.089833215,5.558439369,0.294061904,3.499132638,1.335049357,0.311362843,0.335975437,0.606897062,0.782948347,3.239900065,0.13578045,1.595586184,0.272237364,0.109865962,1.55075138,4.799166347,0.042820658,0.376403541
S15_T_R1,S15,C,T,R1,Small,2.6,0,0,0,0,0,0.1517945,1.619974563,0,0,0.213883799,11.34609435,1.705536173,0.153145845,0.295276897,3.534851308,34.00397838,2.435500372,0,11.21111254,0.178915757,4.961575707,0.291064383,2.879998579,1.204780249,0.389300671,0.577083001,0.535080255,0.817494889,4.398895552,0.156206766,1.303571779,0.281833234,0.178963534,1.999506066,10.86661639,0,0.523589325
S15_T_R2,S15,C,T,R2,Small,2.71,0,0,0,0,0,0.193953099,1.613429917,0,0,0.213146032,10.94622987,1.736842526,0,0.285158601,3.429115361,35.82535637,2.490403662,0,11.67242697,0.186728569,5.070407316,0.279122601,3.008560868,1.240903284,0.370762252,0.511431677,0.570687931,0.802644665,3.951460993,0.203264744,1.342390336,0.269676357,0.17458161,1.838138489,9.642165207,0,0.454495317
S15_T_R3,S15,C,T,R3,Small,2.44,0.308686947,0,0,0,0,0.267136185,1.570580284,0,0,0.217542163,11.82760094,1.569909124,0,0.322713419,3.780407476,31.39633012,2.361587513,0,10.46046466,0.172081571,4.789738503,0.297721896,2.627924342,1.172807927,0.442668977,0.680324921,0.53710082,0.875066913,4.855995914,0,1.155960794,0.262854178,0.206186007,2.241269511,13.64816315,0,0.527867032
S16_NQC1_R1,S16,C,NQC1,R1,Big,4.15,0,0,0,0,0,0.096914468,1.723645977,0,0,0.176012653,9.932342138,1.893799507,0.120857197,0.285484196,3.074548488,38.96195067,2.38576377,0,12.82204062,0.218426031,5.274767599,0.333103835,3.029203431,1.041026263,0.413191235,0.394259719,0.443536536,0.816118226,3.779764787,0.163461929,1.508883284,0.242081867,0.149416156,1.458729336,6.930141519,0,0.352992671
S16_NQC1_R2,S16,C,NQC1,R2,Big,7.54,0,0,0,0,0,0.056683267,1.984427159,0.056506805,0.062757889,0.170014477,9.386654396,2.236883259,0.198133997,0.283587646,1.38023149,40.83840893,2.163324518,0.060816324,14.61880235,0.238989516,5.820467002,0.324668358,3.392890916,1.085534164,0.358426402,0.285092677,0.481922559,0.81627575,3.039998319,0.18888536,1.704874437,0.25950047,0.119394206,1.269997974,4.724662884,0.055281035,0.30798677
S16_NQC1_R3,S16,C,NQC1,R3,Big,5.66,0,0,0,0,0,0.083519843,1.894098731,0,0.058068819,0.171760698,9.199248048,2.126620635,0.166269403,0.290247397,2.739333261,41.64034246,2.290655141,0.055628242,14.09082362,0.227760546,5.608123336,0.334391335,3.284828031,1.075370148,0.366215543,0.29020928,0.454714416,0.784321467,2.914652257,0.15359323,1.634169609,0.241955144,0.10794901,1.229705339,4.205906517,0,0.335605988
